"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-08-22 02:55:33",1755831333263,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.png","GET","",-1,"xm4rk-1755831332171-66893bf2ffa6","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 218, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7VBVGBZ0NWERK0R8VD98","",-1
"2025-08-22 02:55:32",1755831332219,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.png","GET","",500,"xm4rk-1755831332171-66893bf2ffa6","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",1030,"iad1",82,2048,"","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7VBVGBZ0NWERK0R8VD98","",1
"2025-08-22 02:55:30",1755831330065,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.png","GET","",-1,"bfj7p-1755831329000-95b32a9d2038","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 218, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7R8G1JZGRQZ811HXDQKP","",-1
"2025-08-22 02:55:29",1755831329039,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.png","GET","",500,"bfj7p-1755831329000-95b32a9d2038","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",1013,"iad1",82,2048,"","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7R8G1JZGRQZ811HXDQKP","",1
"2025-08-22 02:55:27",1755831327889,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.png","GET","",-1,"2mc5s-1755831326800-db9ae4afcac6","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 218, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7P3QW3BWEJGD33XJH5N6","",-1
"2025-08-22 02:55:26",1755831326839,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.png","GET","",500,"2mc5s-1755831326800-db9ae4afcac6","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",1032,"iad1",82,2048,"","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7P3QW3BWEJGD33XJH5N6","",1
"2025-08-22 02:55:26",1755831326757,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.ico","GET","",-1,"8jlqh-1755831325662-bd8b7c5ece62","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 218, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7N06HYX1CEV5WKKS222J","",-1
"2025-08-22 02:55:25",1755831325702,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.ico","GET","",500,"8jlqh-1755831325662-bd8b7c5ece62","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",1032,"iad1",82,2048,"","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7N06HYX1CEV5WKKS222J","",1
"2025-08-22 02:55:23",1755831323590,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.ico","GET","",-1,"w9fbk-1755831322505-7a4cc0241e27","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 218, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7HXQEGB1S1678QD1P1Z0","",-1
"2025-08-22 02:55:22",1755831322551,"open-house-finder-backend-4vjn3cgyg.vercel.app/favicon.ico","GET","",500,"w9fbk-1755831322505-7a4cc0241e27","vercel-favicon/1.0","error","production","main","","lambda","/app/main.py","open-house-finder-backend-4vjn3cgyg.vercel.app","open-house-finder-backend-4vjn3cgyg.vercel.app","dpl_5p5G8P5JdFDwuAQiGUuizWCxuzVL",1020,"iad1",82,2048,"","prj_XbbctpefS50U5Hz4hBOPOkjOl3P8","","","01K37V7HXQEGB1S1678QD1P1Z0","",1
